"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C07.dcc","DSP-1001660005648-A-C08.dcc","DSP-1001660005648-A-C10.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D02.dcc","DSP-1001660005648-A-D03.dcc","DSP-1001660005648-A-D04.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D07.dcc","DSP-1001660005648-A-D08.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E01.dcc","DSP-1001660005648-A-E02.dcc","DSP-1001660005648-A-E03.dcc","DSP-1001660005648-A-E04.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005648-A-E07.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C07.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D01.dcc","DSP-1001660005649-B-D02.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-D05.dcc","DSP-1001660005649-B-D07.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F02.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F07.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A03.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E03.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E09.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-E11.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F06.dcc","DSP-1001660012099-C-F07.dcc","DSP-1001660012099-C-F08.dcc","DSP-1001660012099-C-F09.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G03.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc","DSP-1001660012099-C-G12.dcc","DSP-1001660012099-C-H07.dcc"
"WAS",2,2,2,1,0,1,1,0,1,0,2,3,3,2,1,1,0,1,0,1,1,1,0,3,3,3,6,1,0,7,4,3,1,2,3,0,0,1,4,8,5,3,12,1,4,1,2,6,5,3,4,0,10,21,9,2,10,2,0,9,6,5,3,16,1,5,5,5,4,6,3,4,3,4,4,2,1,2,3,4,8,6,4,11,8,3,1,3,2,4,1,3,1
"CDKN1A",4,11,0,2,0,10,6,0,11,2,3,3,3,3,5,9,0,5,1,2,1,2,0,11,9,5,7,1,10,3,26,1,0,7,14,10,1,3,1,4,9,1,16,0,18,7,5,10,3,2,4,4,63,45,16,2,7,6,16,4,19,4,68,28,1,7,6,2,11,13,29,26,69,2,6,3,14,22,3,2,33,10,14,13,9,7,10,3,26,22,18,14,7
"TPP1",6,9,0,3,6,2,1,0,2,1,5,9,2,3,1,2,0,5,1,1,1,2,2,6,10,0,13,1,10,7,9,2,1,4,4,3,3,2,11,4,15,9,16,4,7,1,2,14,4,1,2,2,15,20,22,8,16,10,5,12,10,3,14,18,7,15,8,3,10,10,15,11,17,4,6,2,12,11,3,4,18,6,12,13,15,9,3,4,9,12,11,14,5
"COL5A2",10,0,4,1,1,2,2,2,4,3,1,9,2,5,6,3,1,3,2,2,1,3,4,1,7,3,10,0,11,5,4,1,0,3,3,2,0,3,5,4,15,5,8,1,8,3,5,2,4,4,6,13,6,17,14,4,12,10,9,5,10,11,7,20,6,11,8,7,5,2,11,22,4,6,15,10,15,15,3,1,7,2,9,5,5,4,5,3,5,8,16,9,10
"CTSK",2,1,0,0,1,1,2,1,1,1,0,3,1,13,2,1,1,0,0,1,0,1,2,1,2,4,7,4,7,1,2,0,0,6,5,2,1,1,0,1,6,6,7,2,3,2,2,7,5,4,3,4,8,9,6,0,6,1,7,2,5,14,10,9,2,11,1,5,5,1,6,7,3,2,3,1,3,3,1,1,9,2,6,4,4,2,4,2,3,7,5,9,1
"CYBB",1,13,2,1,4,2,5,2,3,2,5,1,1,2,1,3,2,4,1,5,5,4,2,13,18,0,15,3,18,7,7,4,0,4,3,20,0,2,7,9,26,11,25,7,3,3,3,29,12,12,9,2,15,17,68,2,25,6,7,6,22,23,12,122,4,44,20,8,2,10,33,29,9,6,14,8,13,11,10,7,16,9,18,20,24,15,8,6,13,13,28,33,9
"CYB5R3",4,1,1,1,0,3,1,1,2,2,4,5,2,2,4,2,1,1,1,2,0,0,0,1,8,3,7,2,5,5,10,0,0,3,1,1,0,0,3,4,4,2,8,2,8,6,7,4,4,6,1,3,12,23,5,9,8,8,3,1,3,2,9,6,14,2,2,3,4,5,5,24,11,3,5,4,4,12,1,7,4,0,6,14,10,10,3,5,5,8,2,2,2
"G6PD",6,4,2,1,1,2,1,2,1,1,3,4,3,2,5,2,0,1,2,2,3,1,0,3,6,7,6,3,2,6,20,2,2,2,7,3,1,1,4,4,3,4,7,2,4,3,6,6,2,3,0,2,8,30,5,6,6,6,1,1,3,4,15,11,6,4,1,5,4,4,11,10,21,7,5,4,3,42,2,6,8,2,8,15,9,1,6,3,4,7,8,3,2
"GM2A",4,17,1,7,7,0,3,2,5,1,3,5,1,2,1,6,1,4,1,3,5,1,3,11,27,11,29,1,12,17,32,3,0,4,19,15,3,5,11,12,16,3,19,0,8,3,4,26,9,5,7,7,19,21,70,4,18,20,16,4,7,15,14,132,7,31,8,3,7,2,25,26,26,5,2,4,12,53,3,7,21,4,22,26,15,2,10,6,6,18,19,26,3
"HSD17B4",1,3,0,1,0,1,6,2,2,2,6,6,1,0,2,3,2,3,1,1,1,0,1,3,8,4,4,1,8,10,11,1,1,2,7,3,2,1,6,5,1,3,12,1,0,4,3,22,4,2,1,2,17,24,8,4,7,6,0,4,1,2,13,19,4,6,5,4,5,3,14,9,12,2,3,1,12,7,3,8,9,1,5,22,4,3,5,2,3,10,4,6,0
"IFNGR1",2,5,3,2,2,3,7,1,3,1,7,2,2,3,2,4,1,5,0,4,3,2,4,4,15,1,11,3,5,11,9,3,0,3,3,7,1,1,7,11,4,2,13,0,6,3,6,12,10,16,6,3,16,27,10,5,6,5,7,10,5,3,25,30,4,6,11,3,6,7,17,10,16,6,17,4,10,9,10,10,12,7,5,13,20,6,4,4,6,10,17,12,3
"IL2RA",2,1,1,1,0,0,1,1,1,1,3,1,1,2,0,0,1,2,0,1,3,1,0,9,2,3,10,1,2,2,5,3,1,3,1,3,0,7,5,4,7,5,3,1,2,4,2,2,1,1,4,64,2,11,7,4,7,1,2,1,10,7,3,10,12,9,8,4,4,4,5,3,6,5,4,1,1,1,7,3,5,7,9,4,8,5,2,2,1,3,0,10,4
"LTBP2",4,1,2,4,1,1,5,2,1,1,3,3,2,10,0,5,2,3,0,1,1,0,2,3,3,7,8,5,7,2,2,2,0,3,5,3,1,3,1,10,6,2,14,1,12,2,8,7,2,26,0,3,11,34,1,6,9,2,5,9,4,5,11,3,3,9,8,4,3,8,8,1,2,9,10,0,6,4,11,3,6,12,19,10,14,3,7,1,6,11,27,9,0
"PAFAH1B1",5,4,2,0,4,1,2,2,1,0,2,3,3,4,4,4,1,2,0,0,1,0,4,1,17,4,18,2,7,15,10,1,1,4,7,7,1,4,7,3,1,3,17,2,5,3,6,9,7,5,5,5,5,12,4,7,7,5,12,3,6,4,21,12,8,5,7,2,3,6,11,12,16,2,7,2,6,17,8,4,11,2,9,11,10,11,8,7,1,2,15,5,5
"NEU1",2,5,0,3,1,0,1,0,2,0,1,3,1,1,2,2,2,0,0,2,3,2,1,2,10,6,6,4,4,13,19,3,1,2,6,1,4,3,2,2,4,0,12,0,5,3,2,11,3,2,3,4,23,18,13,3,4,5,8,1,6,2,48,10,3,4,4,4,1,0,8,4,18,3,6,1,4,8,4,3,6,4,10,8,7,3,3,3,3,3,3,3,0
"NOTCH3",1,4,1,1,0,1,5,2,9,2,3,4,2,0,1,4,4,0,2,0,0,1,3,3,7,9,11,4,9,3,30,0,1,3,14,7,1,1,0,3,6,4,2,0,9,7,14,1,4,5,1,9,7,15,5,12,5,6,5,4,8,1,13,16,11,8,5,0,4,13,16,52,10,4,8,6,9,17,4,4,10,3,9,8,10,5,11,2,11,31,13,6,1
"PLEC",8,6,6,4,3,9,5,0,6,3,5,18,1,5,14,4,5,5,2,6,4,2,3,9,12,8,14,2,13,16,22,3,0,3,9,11,5,4,9,4,2,3,17,1,33,8,6,13,7,6,3,4,30,67,15,3,17,23,6,9,13,8,43,6,12,10,7,6,7,10,20,18,60,3,11,8,19,33,8,22,17,15,16,24,18,10,9,8,9,25,20,16,8
"RFX5",1,5,2,2,2,1,1,1,1,1,3,4,0,2,0,2,0,0,1,2,2,0,1,6,7,3,9,4,4,13,4,1,2,0,3,3,2,1,6,3,4,5,4,0,3,3,3,7,4,4,3,1,9,13,7,2,7,15,4,3,7,6,7,16,5,9,1,7,3,8,11,7,15,0,7,2,9,11,4,5,10,3,7,6,4,3,5,2,4,3,5,7,1
"STK11",4,1,0,1,1,0,1,2,1,1,2,6,1,0,2,0,2,1,0,1,5,1,5,3,9,7,5,6,4,3,16,2,1,1,8,5,1,1,1,1,2,0,3,2,3,11,2,5,2,6,6,3,2,14,6,2,6,6,5,2,5,5,3,8,6,6,1,2,1,7,7,5,9,2,3,1,4,6,6,5,3,4,2,9,3,2,2,4,5,2,5,8,1
"AK1",1,3,2,0,0,1,1,0,5,1,1,3,0,2,1,3,0,5,1,1,2,0,0,3,9,6,5,2,7,5,8,3,3,0,12,4,1,0,4,3,3,1,7,2,2,4,4,2,2,0,2,2,9,8,3,2,4,4,6,4,5,6,14,3,4,5,1,1,3,6,5,9,7,1,9,4,8,8,2,5,10,3,2,7,4,10,5,1,1,5,5,4,2
"APP",9,25,0,8,4,10,14,4,27,2,10,21,1,5,15,9,5,4,5,4,16,4,25,3,25,12,37,36,8,17,44,3,7,9,30,14,5,2,5,14,13,5,19,3,21,30,23,9,6,12,7,13,40,58,16,27,19,51,27,14,11,11,36,22,42,11,10,7,10,17,49,72,39,18,18,19,33,54,14,18,25,21,61,39,25,10,29,19,11,43,37,9,9
"APRT",4,11,1,1,9,9,1,3,4,5,1,15,2,2,9,1,4,4,7,1,7,1,3,6,7,11,14,7,6,17,11,7,0,5,7,5,2,0,5,6,8,4,4,2,9,3,8,6,8,5,4,5,11,16,10,6,13,5,10,3,3,1,13,16,5,8,5,8,0,29,18,9,39,3,11,5,11,38,7,8,11,6,17,24,9,16,16,6,8,12,8,11,3
"ATRX",29,12,10,16,9,11,8,11,11,20,19,27,12,17,10,8,14,13,4,32,13,9,17,17,61,33,43,27,16,84,58,15,10,17,43,46,29,7,37,14,20,21,19,9,61,21,28,27,15,14,24,22,30,178,16,24,44,17,23,18,16,21,51,36,37,25,18,52,42,35,46,29,47,42,30,25,32,35,8,79,51,27,73,45,25,27,42,49,16,38,23,34,12
"C1QB",28,28,11,30,15,14,24,7,25,7,24,11,7,30,15,49,8,30,1,12,12,14,9,44,29,10,191,11,30,32,33,63,1,24,8,14,10,38,18,85,82,30,115,3,29,40,20,82,8,88,36,8,74,116,259,38,76,49,9,74,43,28,34,333,43,117,37,43,68,106,99,73,37,53,68,30,61,58,38,21,185,102,110,49,122,61,75,52,32,44,80,268,39
"FBP1",4,6,0,2,5,3,4,0,1,1,1,20,0,2,4,1,1,1,5,1,0,0,1,1,6,9,8,1,4,5,13,1,0,5,6,2,0,2,2,1,1,2,7,6,5,1,3,1,2,1,0,2,13,7,5,1,2,11,1,1,1,0,28,14,2,1,5,2,0,3,12,3,33,2,1,3,3,9,5,2,4,0,13,4,5,0,7,5,4,7,5,4,0
"HEXA",4,2,4,4,6,2,2,0,5,4,3,9,3,1,4,5,1,2,2,3,2,1,3,3,7,8,11,0,5,5,17,2,1,3,15,7,2,0,6,7,8,4,13,3,5,6,3,10,9,8,0,2,18,17,20,5,6,9,9,6,8,7,10,28,12,20,9,2,5,11,19,21,11,2,10,7,10,9,3,4,3,6,18,16,14,14,7,3,8,15,7,15,2
"HEXB",3,3,0,1,4,2,3,0,2,0,6,3,1,3,4,5,1,1,2,3,2,2,0,3,6,2,13,3,9,4,12,2,2,1,12,23,0,1,5,6,3,8,19,5,4,2,3,7,4,9,2,4,19,14,16,2,13,4,4,5,5,3,33,45,4,5,6,4,5,7,17,10,15,10,10,2,5,24,3,2,9,5,9,10,9,6,6,5,5,19,7,12,2
"LDLR",2,1,0,2,2,1,2,0,1,2,5,3,22,1,2,0,1,2,0,0,3,1,2,1,2,8,9,4,5,6,18,3,0,0,9,3,0,2,1,3,4,1,4,1,2,4,4,2,1,2,1,3,10,12,7,5,8,8,2,3,7,0,27,6,6,3,2,2,2,5,4,10,13,0,2,4,3,7,2,5,4,0,4,12,1,6,3,3,5,5,2,3,0
"VHL",1,5,1,2,2,4,2,0,4,1,6,10,1,4,5,2,4,0,2,1,6,1,4,4,10,8,12,4,6,17,22,3,1,2,11,8,1,2,6,4,3,3,4,2,9,2,8,7,3,6,3,5,6,19,4,7,5,5,6,4,8,6,15,16,12,3,5,4,2,8,10,9,19,3,4,5,14,9,3,7,8,7,8,9,7,9,4,5,3,11,7,7,5
"VWF",3,3,1,5,0,0,1,1,10,2,2,12,1,1,2,5,0,3,0,5,4,2,1,2,3,4,6,2,6,4,13,3,1,7,10,3,0,4,1,21,2,2,6,1,12,7,13,1,8,3,0,2,12,17,2,11,19,15,14,19,4,1,1,14,2,6,9,3,15,25,4,27,5,4,13,1,30,2,18,2,19,1,14,3,2,13,6,0,35,15,37,5,0
"FCGR1A",0,2,0,2,3,0,2,0,1,1,3,2,1,1,0,1,0,0,0,3,0,3,1,2,3,1,5,0,4,2,5,2,0,2,5,4,2,3,1,3,6,2,2,2,4,8,1,6,1,3,6,1,8,16,11,3,3,7,1,1,7,3,6,19,1,5,3,4,1,5,7,5,8,4,3,12,7,6,3,3,11,3,3,6,12,11,1,4,1,5,5,4,3
"FCGR3A",9,3,1,5,5,7,2,5,5,6,11,7,4,3,8,9,4,4,0,12,5,6,9,9,21,1,46,4,17,13,3,22,2,5,4,10,1,9,3,11,49,23,6,11,3,12,2,27,2,9,16,6,15,30,86,4,34,3,1,11,43,23,11,101,6,41,4,22,6,29,34,36,19,11,16,9,18,66,13,9,38,18,34,18,48,12,26,12,5,11,36,25,10
"CD55",4,0,1,0,0,1,6,4,2,2,4,3,2,1,2,1,0,1,0,2,1,3,0,4,6,2,9,3,6,10,7,3,1,3,4,5,4,2,6,1,4,4,16,2,11,5,5,9,0,0,0,12,35,20,8,3,6,3,10,2,3,5,58,9,5,4,2,4,4,7,10,7,21,3,7,1,4,18,2,6,10,7,4,13,9,5,3,9,5,5,5,3,0
"GPX1",29,24,9,21,10,20,7,5,19,3,27,13,2,18,24,19,7,9,0,20,18,14,7,23,47,30,93,4,30,60,93,22,1,24,44,31,4,12,28,38,39,22,85,2,35,19,12,55,19,49,17,11,87,132,98,12,36,39,35,30,41,26,64,187,26,43,33,18,38,57,148,105,52,24,82,22,59,125,39,21,96,47,78,128,179,60,57,38,21,62,69,107,15
"C7",0,0,2,3,0,1,1,1,1,3,4,0,0,6,0,4,0,8,1,0,0,3,2,0,2,1,9,1,2,2,5,3,1,2,0,3,1,3,1,37,0,1,8,0,8,0,6,2,3,39,0,1,19,29,2,20,1,1,1,18,1,1,11,3,12,6,8,1,19,9,4,5,4,2,26,1,4,4,19,1,13,12,5,1,9,8,3,4,12,0,11,12,0
"CD14",1,2,0,1,2,1,2,1,1,1,3,2,2,4,2,4,0,1,0,2,2,4,1,8,6,5,18,1,7,5,6,3,0,4,1,1,1,5,3,7,8,3,19,2,5,1,3,7,3,45,8,4,12,45,17,8,10,4,1,11,4,6,14,21,8,17,2,1,3,14,10,8,4,1,8,2,7,6,8,4,11,17,5,10,9,6,8,4,2,3,10,11,4
"TAP1",3,0,2,2,3,5,0,1,0,1,4,4,1,2,2,2,1,4,0,3,0,1,7,5,9,7,5,4,6,14,6,2,1,2,3,12,1,2,11,2,6,3,5,3,8,6,7,19,6,1,2,2,6,7,19,3,16,2,8,2,18,5,105,26,7,17,2,8,2,5,7,11,9,2,8,4,11,7,4,15,12,4,5,10,15,7,6,3,5,16,4,9,2
"IGFBP2",12,2,17,5,5,2,7,3,1,12,9,6,1,2,10,5,6,10,4,5,7,1,8,1,12,19,13,6,6,11,52,2,3,5,27,5,6,4,3,29,1,1,15,2,32,9,10,0,7,30,1,3,17,106,2,25,4,6,7,21,8,1,24,0,10,2,20,3,18,37,42,16,26,3,35,9,7,15,12,8,17,64,18,12,24,10,9,17,13,12,14,18,6
"IGFBP3",2,12,2,2,2,0,2,0,13,1,1,2,0,0,0,1,0,3,2,10,3,1,4,1,12,0,14,2,4,12,11,0,1,0,5,7,1,0,1,1,5,3,3,5,6,34,4,1,1,9,2,9,5,17,5,2,2,29,8,2,43,5,2,2,3,2,8,5,3,1,8,13,6,4,2,5,6,3,4,12,8,4,27,5,6,3,2,1,2,14,3,3,0
"SERPINE1",10,2,26,2,5,2,7,0,7,6,2,1,18,4,1,7,5,12,0,18,8,0,4,3,7,8,6,0,14,5,4,1,0,3,6,7,13,1,25,13,43,12,47,4,72,4,5,2,72,36,12,11,15,223,21,1,41,1,48,27,24,12,8,5,3,36,19,11,3,13,21,23,7,16,12,22,51,22,13,10,9,2,14,24,30,4,41,17,13,27,43,5,35
"ORM2",3,2,0,2,2,1,5,0,0,1,3,6,1,3,4,2,0,1,1,0,0,1,2,2,5,2,8,5,4,6,12,1,2,2,4,4,0,1,11,3,2,1,6,3,6,8,4,6,6,2,3,0,9,25,0,6,8,7,3,1,6,5,15,7,4,9,2,3,3,5,11,9,23,5,9,4,6,10,2,7,9,5,2,17,2,6,3,7,3,7,3,11,2
"CD59",4,15,1,2,4,6,9,1,19,6,6,6,4,3,5,3,8,10,0,6,3,3,18,7,20,12,42,7,14,21,38,5,3,12,26,10,3,6,14,18,13,5,74,7,23,23,11,15,14,14,3,11,122,73,23,15,37,25,33,13,16,3,180,56,19,30,24,18,13,13,55,54,52,5,29,16,15,34,39,28,29,11,37,63,36,34,15,16,26,27,44,16,9
"IGF2",2,2,0,1,0,1,1,0,0,4,1,4,1,5,0,4,0,2,0,2,1,0,0,0,2,0,18,1,0,3,5,7,0,1,1,1,1,9,0,22,1,0,14,1,23,0,22,2,0,41,0,3,9,79,2,30,7,1,1,18,4,3,13,3,14,11,5,0,5,27,1,0,4,4,7,2,1,2,28,1,16,48,6,2,2,0,3,0,1,2,3,5,3
"CD4",1,3,0,2,2,1,1,2,4,0,2,1,0,1,1,1,1,0,1,1,1,0,1,13,3,4,12,3,3,6,1,3,0,3,5,6,1,3,7,6,7,5,12,3,2,6,2,10,9,4,5,2,10,9,18,5,4,1,5,3,3,4,13,19,2,10,4,6,1,11,8,14,3,0,7,2,10,3,5,2,11,9,2,13,6,3,7,2,5,7,8,17,4
"SLC11A2",2,1,1,2,1,1,5,5,2,0,0,10,1,0,4,0,2,1,1,4,0,2,2,3,3,3,11,5,5,3,10,1,1,1,3,4,0,2,2,2,2,2,13,2,6,3,1,6,4,3,0,3,7,24,6,2,5,3,2,2,1,3,12,12,1,7,3,2,2,4,6,10,30,0,4,4,5,10,3,5,4,2,5,20,12,4,9,3,3,7,11,7,2
"IFNAR1",3,1,2,3,1,1,3,0,5,2,4,9,1,3,4,2,3,3,4,0,3,2,1,4,4,5,15,0,3,9,15,2,3,6,13,5,0,1,5,3,4,1,6,1,8,10,2,18,8,1,3,7,15,11,14,3,17,3,6,1,3,3,10,21,3,7,6,2,1,5,12,12,26,3,5,7,9,10,1,2,9,5,11,9,12,8,7,10,6,8,9,10,3
"RFX2",1,3,2,1,3,3,5,4,6,2,7,8,3,1,3,2,3,6,1,5,5,3,3,7,5,4,18,9,12,12,12,2,0,3,6,8,2,3,14,6,6,5,7,4,13,4,8,8,4,4,5,1,4,42,5,8,11,7,9,8,7,11,7,6,5,9,9,6,6,4,13,7,10,1,7,7,7,11,3,13,13,6,13,12,11,9,16,18,3,16,7,6,6
"SOD2",7,8,3,2,1,2,13,4,1,5,1,6,3,4,2,6,1,1,2,5,0,3,7,23,30,42,9,8,32,27,6,5,1,7,6,21,5,0,12,1,17,7,25,19,20,7,11,18,23,6,9,5,28,58,51,23,33,2,22,4,31,13,20,65,27,20,8,10,9,9,11,9,5,2,53,4,29,8,4,85,24,8,15,18,19,53,9,7,5,23,8,28,2
"GSR",3,3,2,3,3,1,0,1,2,1,4,11,0,1,3,1,1,3,3,2,1,0,2,2,2,5,11,3,3,7,21,0,0,1,6,9,1,1,5,0,4,1,3,0,5,4,4,8,4,5,4,1,13,16,4,2,6,15,1,4,0,4,35,7,6,3,0,0,5,5,10,12,20,2,4,2,4,6,2,5,9,2,18,11,2,8,2,0,2,9,5,3,0
"TGFB1",2,5,1,2,2,2,0,1,4,0,7,2,0,3,0,4,0,1,0,2,2,2,4,5,4,1,9,1,7,3,10,2,2,7,0,3,1,3,8,4,9,3,10,3,5,1,5,9,4,5,4,6,14,14,8,9,8,11,10,5,14,9,7,23,11,5,5,2,5,15,18,21,6,7,6,7,14,7,3,6,15,4,8,6,12,5,4,1,8,17,13,16,3
"RPL9",65,64,24,33,16,43,20,18,46,7,63,198,12,20,64,21,20,37,29,16,50,26,43,70,183,89,249,50,60,239,234,38,18,49,139,91,20,43,206,100,83,91,133,31,84,78,89,278,138,94,52,95,130,199,194,82,273,137,210,79,68,168,188,325,109,170,144,76,80,105,221,185,417,56,144,37,105,968,118,131,148,82,167,257,170,98,98,49,100,144,306,164,27
"ADH5",3,5,0,0,1,5,1,2,0,2,2,11,1,0,6,1,2,2,0,4,1,1,3,2,5,1,7,2,3,6,16,1,1,1,12,3,1,1,2,1,0,1,4,1,0,1,2,3,1,5,5,2,13,19,8,1,2,2,2,5,3,2,17,12,6,4,1,2,3,12,10,6,16,2,2,1,3,15,1,6,3,4,17,5,4,6,1,3,4,6,5,5,1
"ADRB1",5,1,3,1,0,1,2,2,1,1,2,2,2,1,0,0,0,4,0,1,0,1,3,1,12,2,12,2,2,11,11,0,0,1,2,12,0,2,4,3,2,2,5,2,4,3,2,3,6,1,2,2,6,12,8,1,8,7,3,4,5,2,0,5,1,2,1,6,2,1,7,6,9,5,2,3,3,9,5,7,3,3,12,6,4,3,10,3,2,2,1,6,2
"ALDH2",7,2,0,1,2,2,3,0,1,2,3,2,1,2,3,3,2,3,4,3,3,1,0,1,9,1,9,0,6,12,5,1,0,0,1,3,2,1,7,5,4,5,9,2,8,1,5,3,5,2,1,3,4,20,6,1,4,6,8,4,1,11,5,27,1,4,1,2,1,6,8,7,17,2,6,2,8,15,1,4,4,3,4,10,13,2,3,1,0,14,4,2,1
"ALDH3B2",22,3,5,10,8,4,3,2,0,4,14,24,5,6,3,6,11,9,2,8,6,0,4,3,14,14,26,6,11,12,23,7,2,10,13,13,2,4,3,13,9,3,16,0,15,6,6,11,4,11,3,9,25,57,8,3,2,21,5,9,15,6,72,13,10,4,4,14,4,7,60,9,361,9,12,24,10,74,9,29,18,10,30,27,17,9,40,10,5,21,13,8,8
"ALDH9A1",5,1,0,1,2,0,3,2,2,2,7,4,1,2,0,1,1,3,1,2,8,0,8,3,1,8,5,3,1,10,10,0,2,1,7,4,0,0,3,5,5,1,16,2,7,12,8,4,2,3,2,2,18,36,7,8,4,14,5,4,4,3,32,11,19,3,2,4,0,4,10,4,17,1,5,5,9,5,3,8,6,3,7,14,8,10,7,4,5,2,7,9,0
"ANXA1",1,0,7,2,1,0,0,3,1,3,2,3,1,5,1,5,0,1,0,6,1,6,0,5,5,2,5,1,13,2,6,2,1,7,5,7,1,2,8,2,8,4,15,6,12,3,8,12,9,2,10,5,16,30,10,9,5,4,6,8,11,3,11,18,14,11,7,4,6,7,10,17,3,6,6,3,13,10,8,7,8,7,13,10,9,9,3,3,6,8,13,11,1
"ATP1A1",2,8,3,0,1,3,0,2,2,0,2,9,1,0,8,1,1,3,0,0,1,2,3,1,12,9,8,9,4,11,7,1,0,4,5,7,1,3,6,8,3,3,11,3,11,6,4,6,4,1,1,6,9,25,8,7,8,10,2,2,5,1,19,10,16,5,9,5,2,2,24,21,26,7,14,2,3,31,8,8,5,7,11,28,10,10,5,4,2,9,18,3,2
"AVPR1B",3,3,2,0,0,2,0,1,1,1,5,3,1,1,1,3,0,1,3,6,3,0,5,2,5,0,3,1,2,4,2,3,0,3,1,5,2,2,3,0,2,5,3,4,5,3,4,3,5,1,2,3,2,11,3,1,11,1,3,4,4,1,5,6,1,4,0,2,2,4,10,7,6,1,4,2,2,5,2,6,4,1,7,8,7,4,3,4,1,3,3,1,3
"BLVRA",1,1,2,5,2,0,4,0,1,0,5,3,1,2,0,2,1,0,2,1,3,0,2,0,4,2,15,2,4,2,8,2,1,4,4,1,0,0,3,3,3,2,6,3,5,9,1,4,3,3,1,2,11,17,11,3,4,6,4,5,3,0,8,14,3,10,3,2,5,4,6,5,20,4,8,1,7,8,3,9,11,4,3,12,6,3,5,4,2,1,4,11,1
"TSPO",1,1,1,3,1,1,1,0,1,1,2,2,2,1,2,0,2,2,2,2,0,0,3,2,4,10,8,3,3,7,11,1,0,6,3,4,0,0,7,6,2,1,6,0,7,3,6,2,1,0,2,3,1,20,5,2,8,10,5,3,5,2,8,12,7,1,4,2,0,3,14,4,10,2,12,5,6,14,4,5,4,3,3,13,7,2,6,12,5,4,4,8,2
"CD3E",0,1,0,2,2,0,1,0,0,0,4,1,0,3,1,0,0,2,0,1,4,3,1,4,3,3,5,0,1,5,3,1,2,2,0,4,0,1,6,3,9,2,4,1,2,1,0,4,10,2,10,0,1,4,7,1,3,3,8,2,9,2,3,7,0,19,5,2,6,7,1,4,0,2,1,0,3,4,8,4,3,3,4,4,3,4,2,0,3,7,8,9,2
"CSF3R",4,8,1,0,1,0,4,0,5,1,4,3,3,0,1,2,1,2,0,1,1,2,4,4,3,2,7,4,3,3,1,3,0,3,5,4,1,2,1,1,1,2,11,1,7,2,3,2,2,0,0,0,6,36,35,1,0,4,3,2,1,2,4,7,0,0,2,1,2,4,15,3,8,1,2,0,6,27,2,4,2,1,3,5,12,2,1,1,2,10,2,5,1
